index,herb
125,月见草
126,叉歧繁缕
1201,荔枝叶
1475,蓖麻油
129,橘
1200,羊蹄叶
131,黄瓜藤
132,大花旋覆花
123,羊耳朵叶
1199,紫檀
136,使君子根
137,千里光
138,灵仙
139,药用蛇床
140,蓖麻子与蓖麻油
1195,红海椒
142,小连翘
143,白花夏枯草
1311,橄榄仁
135,桂丁
1190,番木瓜
1203,紫杉
1205,紫葳根
99,木槿叶
1222,偏翅唐松草根
101,波叶大黄
102,油柑根
103,自消容
104,相思子
1221,长春花
1220,千斤拔
1218,炙厚朴
1204,旱芹
109,桃胶
1217,鸡冠子
112,土木香
1214,西藏酸模
1212,绿豆叶
1476,制半夏
1308,乌头附子尖
117,洋金花
1309,扁竹根
1206,路边紫草
110,大蒜
98,九节茶
146,柠檬
1313,巴戟
1180,枳实
174,银杏果
175,棉花子
1178,酸枣仁
177,响铃草
178,大黄茎
179,青叶胆
180,西洋梨
1315,山蓼
172,枫香寄生
182,鼠李皮
184,水飞蓟
185,辽藁本
186,芡实叶
187,川百合
188,连翘茎叶
382,千金藤
190,无患子
191,木瓜枝
1316,马皮
183,搜山虎
147,草果
171,豆豉姜
169,枣核
149,萝芙木
150,吴茱萸
1473,阿育魏实
152,娃儿藤
153,炙百合
1472,防风花
1314,大良姜
1187,葱花
157,碧桃干
1181,黄瓜
1186,桧叶
160,紫苏叶
161,白槿花
1184,刺黄连
163,广东土牛膝
1470,西伯利亚红松
1469,荔枝草
1183,人参花
1182,牡荆子
168,枣树皮
159,大叶香薷
1169,柿木皮
97,药用牛舌草
95,木槿花
25,诃子核
26,窝儿七
27,地椒
1262,牡蒿根
29,芥子
1261,桃根
1260,茅膏菜
1258,紫藤根
1257,茴香
1263,玉蜀黍
34,橘白
37,樟树皮
1252,莱菔叶
40,长梗百蕊草
41,栀子花
1251,槁本
43,炒枣仁
1249,鼠李
45,三尖杉
1246,牛耳大黄
1254,红头草
47,桃南瓜
23,马桑叶
1299,金鱼
1291,九里香
1494,药用蒲公英
3,桂皮油
1285,杧果叶
1284,高粱姜
1281,藏茄
1280,四季葱头
8,荷包牡丹根
9,小花八角
22,梧桐子
10,栀子叶
12,大黑头草
1277,杭芍
14,半边苏
1273,东北牡蒿
1298,杧果核
17,丁香根
1270,野百合
1269,牡荆
20,除虫菊
11,啤酒花
1482,通花花
48,韭菜
50,仙灵脾
75,苏叶
76,石莲子
77,辣椒茎
78,鹅膏
1230,紫苏子
1483,无花果
1229,棘针
82,洪连
1306,通草
74,钩藤根
84,越橘叶
86,长前胡
1225,锦鸡儿
1224,桑白皮
89,台湾千金藤
90,九里香根
91,臭苜蓿根
1223,四季青
93,荠菜子
94,金樱根
85,骨碎补
1244,白牛胆
73,槐叶
1304,大独活
1243,地榆
52,胡荽
1242,短柱八角
54,梧桐花
1487,制桂枝
56,甜瓜叶
1241,胡桃壳
1239,异株荨麻
1238,苍耳根
1231,虎尾兰
1237,制没药
62,海棠果
63,八角茴香油
1486,三消草
65,冷水丹叶
66,芝麻壳
1303,白芥
1484,鱼藤
69,金铃子
70,生槐角
1236,益母草花
1168,罂粟嫩苗
189,丁香枝
196,黑木金合欢
312,白毛夏枯草
313,扁豆藤
314,莪术油
1086,龙葵子
316,白花前胡
1085,苦檀子
1084,苦豆草
319,广藿香油
320,红旱莲
311,荭草花
1330,檰芽
1082,绵枣儿
324,葛谷
1081,相思子根
326,蜂蜜
1449,覆盆子根
1448,柿皮
329,橘根
1447,长筒瞿麦
1080,胡桃根
322,水仙根
332,马桑根
1087,化香树果
308,樟木
1453,牛乳
1167,苦参实
1111,无患子叶
1110,川乌
1109,狼把草
291,臭柏
1108,麻叶
1452,莲子
1107,喜树皮
309,宽叶羌活
1104,狭叶假人参
297,天仙子
1096,茴香根茎叶
1093,茄花
301,小叶莲
1092,柏根白皮
303,使君子叶
304,女贞根
305,鸡矢藤
1091,黄瓜叶
296,金刚刺
1112,迎山红
1079,山扁豆子
335,蒿本
360,阴行草
1442,油棕
362,西川芎
1070,臧红花
1069,绿豆花
365,苏梗
366,一叶萩根
367,制大黄
1065,猕猴桃枝叶
1072,通花根
