index,herb
978,墨旱莲
977,败酱草
995,萹蓄
1419,焦神曲
1426,火麻仁
974,老鹳草
506,槐花炭
959,木香
435,三棱
546,追地风
561,漏芦
1027,鸡子黄
942,赤芍
1436,姜黄
1024,母丁香
1411,合欢皮
1023,荷梗
425,蟾酥
427,佛手花
548,猪牙皂
1435,六月雪
543,茺蔚子
1018,紫硇砂
485,地黄炭
536,神曲
950,冬葵子
958,炮姜
539,佛手
428,人参叶
429,制天南星
83,禹白附
691,霹荔果
87,土茯苓
994,炒冬瓜子
765,铁落花
16,银柴胡
1479,仙鹤草
108,建神曲
1049,小茴香
808,没食子
772,茯神
1014,炒槟榔
686,荷叶
1287,赤茯苓
1022,生栀子
38,柏子仁
49,白梅花
51,朱茯苓
375,龙眼肉
15,皂角
732,广藿香
704,羊乳根
1276,红参
697,灵芝
753,栀子炭
400,川楝子
1040,续断
1233,制香附
21,苦丁茶
840,土白术
369,枫香胶
385,炒白术
741,木鳖子
1209,凤凰衣
677,莲子心
889,炙淫羊藿
299,大蓟
523,蔊菜
894,锦灯笼
895,炒苍耳子
486,覆盆子
199,佩兰
200,锁阳
902,荷叶边
1157,珠儿参
615,制川乌
1106,鬼箭羽
609,鹿角胶
951,红糖
215,羌活
288,雄黑豆
592,炒黑牵牛子
234,炙菰笋
590,朱砂
1138,穿心莲
923,炒黑牵牛
925,胖大海
1117,白石脂
582,焦白术
255,荜澄茄
259,生川乌
941,石莲
1094,甜杏仁
300,荜茇
1100,生白术
1162,炒白牵牛子
144,千年健
133,冬瓜子
124,鹿角镑
654,穿山龙
975,北豆根
503,天葵子
315,鹿茸
979,炒柏子仁
648,柴胡
120,密陀僧
1207,香附
638,槟榔
521,茯苓
860,山奈
1292,冬虫夏草
173,桑寄生
1467,绵马贯众
1179,鼠妇
1297,白芷
1403,半夏曲
1356,益智仁
1383,白头翁
1402,醋鸡内金
1493,龙骨
1478,滑石
1326,麦芽
1332,琥珀
1310,藤黄
1431,苦酒
1379,天麻
1367,苎麻根
1471,五灵脂
1301,茶树根
1300,栀子
1343,补骨脂
1302,炒白芥子
1351,大黄
1450,麻黄
1414,五味子
1425,秦艽
1390,细辛
1388,松节
1441,炒苦杏仁
1341,蛇蜕
1407,黄精
1380,女贞叶
1378,椿皮
1496,白茅根
1286,生黄柏
558,制草乌
549,羚羊角
533,地榆炭
526,人工牛黄
524,蜜马兜铃
518,玄参
491,松香
577,草乌
480,鱼腥草
461,豆蔻
456,白矾
454,苦杏仁
448,珍珠母
441,酒大黄
439,干姜
434,川贝母
462,煅赭石
578,法半夏
606,远志苗
624,蛇床子
785,金蝉花
770,牛黄
755,川芎
750,王不留行
1495,赭石
746,当归炭
729,制白附子
720,白药子
1288,熟大黄
698,薏苡根
694,冰片
692,制龟甲
681,凤尾草
674,制刺猬皮
672,南沙参
659,芦根
645,矮地茶
419,土牛膝
391,全蝎
386,象贝
384,蝎尾
167,制吴茱萸
164,生姜
154,黄芩炭
151,蜂房
141,龙齿
128,防风
113,炒薏苡仁
107,煅瓦楞子
106,白蔹
105,黄柏
96,煅龙骨
80,青木香
68,附子
67,地耳草
55,射干
19,紫石英
2,干姜皮
176,龟板
793,炒五灵脂
201,当归
213,生半夏
383,炙大黄
361,升麻
357,僵蛹
350,姜半夏
330,分心木
327,饴糖
317,煨姜
293,白芍
286,代赭石
280,防风炭
252,石苇
249,薏苡仁
243,焦栀子
240,肉苁蓉
236,天花粉
227,制巴戟天
222,生地榆
208,红景天
794,秫米
714,桑叶
1198,黄药子
971,山栀
1113,生黄芪
986,蜜黄芪
990,炒蒺藜
997,血竭
1194,紫荆皮
1193,炒白芍
999,红粉
1189,孩儿茶
1000,朱麦冬
1004,鸡内金
1006,叶下珠
1030,浙贝母
1038,清半夏
963,黑芝麻
1188,拳参
1050,花椒目
1158,桂枝
1154,知母
806,焦白芍
1051,制远志
1053,木蝴蝶
1064,麦芽曲
1066,穿山甲
1068,瓜蒌
1083,僵蚕蛹
1146,猫眼草
1136,焦薏苡仁
1088,八月札
1105,刘寄奴
1046,菟丝子
960,白薇
1118,粳米
848,防己
825,麦冬
1256,萱草根
1255,煅赤石脂
1234,花椒
826,商陆
1278,秦皮
828,珍珠粉
833,黄芩
1232,关黄柏
1282,沉香
824,僵蚕
853,枯矾
814,姜栀子
868,莲子肉
1228,西红花
892,石见穿
812,蜈蚣
898,竹半夏
914,煅金礞石
1227,煅青礞石
945,胡黄连
807,芡实
1213,鳖甲
859,蒲公英
5,乌梅
1150,肉桂
1127,白胡椒
1211,砂仁壳
1177,制何首乌
64,虎杖
209,葶苈子
1480,预知子
1208,砂仁
192,巴豆霜
165,藤梨根
162,大枣
115,野葡萄藤
1271,生晒参
798,乌枣
748,红藤
1042,何首乌
813,官粉
708,大黄炭
345,水红花子
1075,蚕茧
1337,当归尾
306,小红枣
956,轻粉
736,青黛
1338,雷公藤
444,生何首乌
601,铜绿
747,蜜麻黄
497,乌敛莓
1393,金荞麦
1235,川牛膝
328,五倍子
819,炒牛蒡子
46,车前子
32,紫苏
24,牛膝
781,磁石
783,土大黄
1265,九节菖蒲
884,葛根
948,石菖蒲
588,郁金
331,海螵蛸
432,透骨草
1170,丹参
1317,蝉蜕
1174,牛蒡子
931,芒硝
398,牡蛎
487,地龙
499,煅牡蛎
507,牛蒡
528,煅磁石
36,甘草梢
1369,蜜甘草
1139,海蛤壳
457,煅蛤壳
763,生甘草
532,玄明粉
