index,target
4160,GRK4
5114,TYRP1
3348,SSTR2
4676,CR2
3369,CHKB
3864,EDN1
4149,PC
3370,TK2
5116,GRM2
4164,GP6
3283,CLTA
5215,GABARAPL1
3279,BLVRB
5118,IL22RA1
3282,IL18R1
3725,CISH
4232,CYP2A13
4236,AP2A1
3352,CRH
4731,HTR5A
5208,IFNK
4734,MTM1
4661,PTGIR
3728,DHFR
4732,CXCR6
5107,IL19
4608,JUP
3799,PDE6G
4310,UXS1
4311,RBPJ
4667,OAS1
4604,BHMT
4157,POLR2H
4158,THPO
5207,CAV3
3803,UGT8
4611,PLD3
4150,CDA
3729,PRIM1
4730,B3GALT5
3368,ID4
3307,UCK2
4166,RAB7A
3778,PGK1
4192,MTFMT
4189,XCL2
3295,LPIN1
4277,G6PD
3757,PLAUR
4194,PSEN2
5163,RPEL1
4645,CAV2
3290,IL9
4708,INPP1
4685,HRH2
4216,CNTFR
3326,IMPA2
3291,TNFRSF13B
4281,CLCF1
4631,FGG
4195,GMDS
5185,CCR1
4266,KIR2DS2
4264,PI4K2A
5179,KIR2DS5
3305,PRKAR1B
4638,FGR
3759,CCL22
3303,TUBA8
4694,INPP4B
5172,MASP2
3761,CXCR5
3297,GPX3
4271,KCNMB2
3777,SUCLG1
4698,SDC1
4165,NAIP
4282,P2RY1
3751,INADL
5197,PLD4
3852,SDC4
3740,POLR2I
3738,STK3
3787,CKS2
3855,UCKL1
4613,CXCL13
3860,CNGA3
4299,GALM
3789,SELE
5202,ACADSB
4726,SMPD2
3863,MOGAT2
3805,ADPRM
5124,IL17A
3843,ARNT2
5133,SETD7
4251,ENTPD8
4684,POLR2B
3750,ITCH
4620,SPDYA
3845,AGXT2
3847,MBOAT1
4221,ADORA3
4265,FLT3
4717,ATP2A1
4222,GPX1
4290,IL11
3746,LPCAT2
3743,IFNW1
5196,LTB
5135,TUBA1A
3335,MAP3K11
3982,CALR
3406,CAD
5093,SLC8A2
3505,ARF6
3628,NME5
3935,NME4
3936,RAPGEF2
4414,CDS1
4033,RAB5B
4824,CD55
3939,AACS
3941,POLR2K
4821,ACOT2
3511,GUCA1A
4030,RCHY1
3513,PNPT1
3517,GUCY2F
4940,LLGL2
3944,BMP8A
4830,ATP6V0A2
4831,CD22
4027,IGSF5
3945,ATP2A3
4947,USP7
3503,FOXO4
4516,TCIRG1
4965,POLR3D
4061,NCAM2
4536,TUBA4A
4799,INPP5B
4534,TXNRD2
3481,HES1
4394,AGPAT6
3641,POLA2
4057,CNTF
4979,SGK2
3484,SERPINB5
3487,TPI1
3928,ALOX15
4977,PAH
4804,MGAM
4976,POLR2A
3640,OPRD1
4812,RASGRP4
3930,POLR2J2
4968,CARD9
4967,CLTC
3500,IL13RA1
3946,KCNMB3
