index,target
5131,CAT-1
5037,NOX5
3253,CNN3
5028,HEY1
205,EMP2
5098,crn-7
5195,CASP2
3160,FABP1
3176,AQP5
5058,MSLN
5073,NFAT5
3438,TRPC3
2964,BSG
162,ELN
98,SPARC
3372,SPZ1
3347,DUSP22
5119,CREBZF
182,GATA2
2965,MTTP
3330,NPEPPS
5169,MAP2
3180,OPRK1
5113,SLC9A3
3105,HIRA
3125,SIRT2
5020,RBP2
3005,SLC5A5
5209,SLC7A5
3080,ABI1
3228,COL7A1
5065,PRXC1A
5074,MSH2
3185,CD83
3129,UCP3
3319,ATP2C1
3436,CYBRD1
169,FABP4
168,NPTN
3395,KCNK5
3156,GFAP
2971,SCARB1
2075,FBXO25
2124,BRK1
2086,ALDH1L2
3165,ATP5J
3167,ATP12A
2127,SUV420H1
2081,OR5AU1
2125,OR2G2
2082,GNE
2126,CASP5
2085,OR13C2
2078,PNMT
2084,TAS2R46
2080,HSD3B7
3166,PLCL1
2083,SQSTM1
2106,FMO1
2123,MIR135A1
3159,TF
3984,UBE2I
3987,CARD18
2108,UBE2L6
3161,FLAD1
2103,MIR103A2
2102,CPEB2
2101,DLG2
3979,MGAT1
3327,OR11H6
2111,MIR20A
3988,PHLPP1
3163,OR5M8
3989,GCGR
2097,CDC14B
2096,MIR373
3976,NRG4
2113,ICAM3
2114,MYO10
2095,PPM1A
3992,CDK7
2093,PRICKLE2
2091,MTHFD1L
3997,KLC1
3164,HIST4H4
3973,ZYX
3328,OR51F1
2089,MIR451A
3966,MRC2
2088,OR6Q1
3969,GAPDHS
3439,SPRED3
4004,ALOX12B
4032,MSMO1
4031,NRXN1
2021,ECSIT
2023,MIR18A
3178,HDDC3
2025,P2RX4
2026,H3F3B
2027,OR1D2
3321,SSH2
2028,HIST1H2BO
4028,ALG6
2030,HIST1H2AG
2031,MIRLET7F2
2032,GBA
4026,OR4D2
3179,UBB
2035,SSH3
2016,EFNB1
4041,GMPR2
1999,OR6F1
4049,B4GALT4
3183,ATP6V1G2
2002,MITF
4048,TG
3320,HIST1H3G
2005,GLDC
3181,KMT2B
2007,OR52N5
4046,AGAP2
2009,EPB41L3
2010,CHAT
4043,MIR335
2012,ATP5L
2013,ADPGK
4039,MED16
3168,SGMS1
3175,OR5H2
2039,PRKD2
4016,DYNC1I1
4014,RAET1G
2061,CH25H
4013,ZIC2
2063,CTNNBIP1
2064,PRSS2
3170,TM7SF2
2065,NXT2
4009,MIR106B
2067,OR4F16
2068,PARVG
2070,ALOX5
2071,PLOD2
2072,GPC1
4005,RARA
2128,OR2T8
2038,OR13C8
2057,HIST1H4B
2055,FHIT
2040,CLDN4
4024,HSF1
3323,AK3
4023,THY1
2043,RGS14
2044,B3GNT6
3173,CLDN3
2045,ACOT4
3324,ERO1L
2048,FOXA3
3325,OR9A2
2051,NAT8L
4018,HIST1H2AM
2053,ULBP1
2054,INMT
4017,NSMAF
3964,DYNC1H1
2151,TAS2R7
3963,MIR133A1
3903,CERS2
3902,AWAT2
2240,BCL2A1
3899,SOX4
2244,OR6C76
3133,APBB1
2246,UNC5D
2247,ARHGEF2
3132,SSX2IP
3895,CSK
3893,RRAGB
3891,ULK3
3889,SMPD1
2253,AASDHPPT
2254,SCN1B
2237,TEAD2
2256,NXF2B
2236,NRG3
3341,EPHA4
2219,SMEK1
2220,NFASC
2221,GANAB
3906,IPMK
2223,ALOX15B
2224,SPRED1
3136,PDK1
2226,IDS
2227,AHCYL2
3905,NXF2
2229,DUSP2
2230,PML
2231,OR52W1
2233,ATP6V1F
2234,MIR103B2
2235,SEMA3B
3137,RAB7B
3886,SRSF8
2260,PANK1
3872,HIST2H3C
2282,MIR29A
3124,EZH2
2283,EHMT2
2284,CLDN25
2285,ACTG2
2286,MIR7-1
3345,FRMD6
2288,SHROOM1
2289,TAS2R16
2291,NADK
3121,PIGW
3868,CYP4F3
3867,NSF
3120,FOLH1
3873,EPB41L2
2259,OR6S1
2277,NMRK2
3875,DIAPH2
3131,TUSC3
3342,DCTD
2261,RASAL1
2263,AIM2
2264,EPHA7
3884,AMDHD2
3883,ATP6V1C2
3128,RNF125
3881,DTX2
3880,DTX4
3343,OR4K2
3879,CLCA2
3126,PNPLA6
2272,HTRA2
3877,RGL1
3874,NPAS2
2217,ATP6V1D
3138,OR11H4
3340,CKMT1B
2149,HIST1H2BE
1998,ST6GALNAC1
3950,PDE11A
3337,ANK2
2154,MED27
3338,OR10A6
3147,SUOX
2158,TPMT
3948,SPAM1
2162,SC5D
2164,CLDN2
3145,NEDD4L
3943,CYP27A1
2168,MGAT4D
3942,ZNF274
2148,TBL1X
3144,NNMT
2147,MAF
3151,SHANK3
2132,GRPR
3961,ATP5E
3960,OR2AT4
2136,HIST2H3A
2137,MIR128-1
3332,IPPK
3333,NUDT16
3959,TPK1
2139,OR6C3
2140,GPD1
2141,SMURF1
3958,ALG8
3957,NF2
3956,OR4F29
3334,EI24
2146,CLDN11
2175,FCER2
3934,HYKK
2177,GCSH
2201,GALNT14
3920,GCLC
3917,MCM6
3916,MED12
3915,HIST2H2AC
2207,NAE1
2208,EXTL3
3913,P2RY12
3912,ACLY
3911,DAAM1
3910,CLDN5
3140,AK6
2213,OR2T10
3909,ORAI2
2216,DLL4
2200,SERPINB6
2199,OR52A5
2198,GALNT6
