index,herb
413,巴戟天
414,艾实
415,蒲黄
416,臭苜蓿根
417,白芷
418,桑枝
419,白刺花叶
420,东当归
421,芝麻壳
422,枸骨根
423,藕汁
424,大黑头草
425,大蒜
426,紫藤
427,葱汁
428,黄精枝
429,牛膝
430,醋柳果
431,川木通
432,白芍
433,白蔹子
434,丁香根
435,老鹳草
436,桑瘿
437,法半夏
438,香橼
439,蓬莪术
440,丹参
441,芡实茎
442,三尖杉根
443,茺蔚子
444,柿木皮
445,荠菜
446,党参
447,香菇
448,辣椒
449,茖葱
450,胡桃油
451,大叶柴胡
452,连翘根
453,莲花
454,药用蛇床
455,啤酒花
456,仙灵脾
457,白花甘西鼠尾草
458,当归
459,竹沥
460,千斤拔
461,杧果叶
462,牛舌草
463,梧桐花
464,藜芦
465,鼠尾草
466,华山参
467,荔枝
468,桑叶
469,莲须
470,狗脊
471,旋覆花
472,黄连
473,豆豉姜
474,十大功劳叶
475,黄精根
476,芡实叶
477,没药
478,牧马豆
479,大头黄花蒿
480,车前子
481,檀香油
482,大青叶胆
483,苍耳
484,搜山虎
485,甜瓜子
486,马鞭草
487,炮诃子
488,人参芦
489,华鬼臼
490,硫磺
491,君子兰
492,胖大海
493,白芥子
494,姜皮
495,屈曲花
496,胡桃叶
497,三七叶
498,使君子叶
499,檀香泥
500,迎山红
501,华东蓝刺头
502,人参花
503,通草
504,臧红花
505,前胡
506,分心木
507,小叶黑柴胡
508,滇藏木兰
509,路路通
510,防风花
511,小茴香
512,木瓜根
513,生地黄
514,韭菜
515,木瓜核
516,龙葵
517,生瓜
518,黄菠萝果
519,天门冬
520,猕猴桃根
521,蒿本
522,蔓荆子
523,东方核桃
524,紫藤子
525,藏茄
526,毛鱼藤
527,紫苏叶油
528,小黄花菜
529,紫花前胡
530,杨梅树皮
531,侧柏叶
532,小花八角枫
533,天仙藤
534,瓜蒂
535,荷叶蒂
536,侧子
537,炙桑柏皮
538,红筷子
539,高山黄华根
540,龙葵根
541,橘
542,马皮
543,瓜蒌
544,银杏叶
545,印度大麻
546,罂粟嫩苗
547,西藏酸模
548,辽藁本
549,毕澄茄
550,白果紫草
551,臭节草根
552,紫檀
553,蘑菇
554,黄花蒿
555,藕节
556,白牛胆
557,红参
558,甘蔗
559,秋水仙
560,桑沥
561,棉花根
562,荜茇
563,茶子
564,青木香
565,芹菜
566,槁本
567,紫苏梗
568,生山栀
569,苦桔梗
570,异株荨麻
571,响铃草
572,豆油
573,重瓣栀子
574,风箱树根
575,鹿衔草
576,苏丹可乐果
577,柿叶
578,臭草
579,牡荆
580,喜树
581,降香
582,野芝麻
583,藕
584,苍术
585,土木香
586,白花蛇舌草
587,大良姜
588,白头翁
589,红豆蔻
590,苦楝皮
591,狗骨叶
592,阿魏
593,麻黄
594,秦皮
595,葱花
596,柿皮
597,马桑根
598,棘叶
599,杨梅根
600,枸骨树皮
601,地锦草
602,关公须
603,苏木
604,蓝实
605,麻根
606,木瓜
607,川牛膝
608,木槿根
609,枫香树皮
610,番泻叶
611,麝香
612,穿心莲叶
613,银花子
614,九里香根
615,穭豆
616,川贝母
617,薄荷
618,莱菔子
619,显齿蛇葡萄
620,葛蔓
621,高山黄华
622,苍耳花
623,绿豆
624,独一味
625,生槐角
626,扁豆根
627,水飞蓟
628,番茄
629,柴胡
630,叶底珠根
631,金樱花
632,榆白皮
633,油胡桃
634,石柑子
